# Original independent harvesting profile.
resource | Sunleaf | 0 | 4 | 3.5 | -
resource | Frost Reed | 8 | 12 | 4 | -
resource | Copper | 15 | 20 | 4.5 | -
resource | Ember Crystal | 32 | 42 | 6 | Pickaxe
resource | Slate | 12 | 16 | 5 | Pickaxe
resource | Lavender | 3 | 7 | 3.5 | -
resource | Flax | 6 | 10 | 4 | -
resource | Garden Sage | 10 | 14 | 4 | -
resource | Rosemary | 12 | 16 | 4 | -
resource | Moss | 18 | 24 | 5 | -
resource | Winter Wheat | 2 | 5 | 3.5 | -
resource | Cotton | 7 | 11 | 4 | -
resource | Deep Coal | 10 | 14 | 4.5 | Pickaxe
resource | Iron Ore | 18 | 24 | 5 | Pickaxe
resource | Clear Quartz | 4 | 8 | 4 | Pickaxe
resource | Sulfur | 8 | 12 | 4 | Pickaxe
resource | Storm Crystal | 24 | 32 | 5.5 | Pickaxe
resource | Moon Salt | 20 | 28 | 5 | Pickaxe
node | glasswind | 7 | 39 | 72 | Garden Sage
node | glasswind | 8 | 75 | 67 | Rosemary
node | glasswind | 9 | 88 | 62 | Storm Crystal
node | glasswind | 10 | 29 | 49 | Moon Salt
node | frostmere | 6 | 38 | 69 | Frost Reed
node | frostmere | 7 | 73 | 76 | Flax
node | frostmere | 8 | 83 | 47 | Iron Ore
node | frostmere | 9 | 27 | 78 | Moon Salt
node | mirefen | 6 | 42 | 71 | Moss
node | mirefen | 8 | 82 | 79 | Cotton
node | mirefen | 9 | 29 | 79 | Copper
node | verdant_reach | 6 | 39 | 67 | Sunleaf
node | verdant_reach | 7 | 73 | 68 | Lavender
node | verdant_reach | 8 | 80 | 45 | Winter Wheat
node | verdant_reach | 9 | 27 | 52 | Rosemary
node | cinder_wastes | 6 | 39 | 72 | Ember Crystal
node | cinder_wastes | 7 | 76 | 78 | Deep Coal
node | cinder_wastes | 8 | 84 | 47 | Sulfur
node | cinder_wastes | 9 | 28 | 78 | Slate

resource | Reed | 4 | 9 | 3.5 | -
resource | Pearl | 24 | 36 | 5.5 | -
resource | Clay | 4 | 9 | 3.5 | Pickaxe
resource | Lotus | 12 | 20 | 4.5 | -
resource | Orchid | 24 | 36 | 5.5 | -
resource | Salt | 4 | 9 | 3.5 | Pickaxe
resource | Sap | 12 | 20 | 4.5 | Hatchet
resource | Peat | 4 | 9 | 3.5 | Pickaxe
resource | Crystal | 24 | 36 | 5.5 | Pickaxe
resource | Lichen | 12 | 20 | 4.5 | -
resource | Stormglass | 12 | 20 | 4.5 | Pickaxe
resource | Seed | 4 | 9 | 3.5 | -
resource | Venom Bulb | 24 | 36 | 5.5 | -
