# map | object_id | x | y | role | target | player-facing text
emberhaven | 16 | 94 | 58 | portal | maps.txt | The obelisk hums and the road ahead opens.
emberhaven | 17 | 52 | 58 | storage | shared | The civic chest opens your shared storage.
emberhaven | 18 | 70 | 54 | crafting_station | smelting | The forge is ready; open your manufacture window to smelt.
emberhaven | 19 | 68 | 55 | crafting_station | smithing | The anvil is ready for smithing recipes.
emberhaven | 20 | 66 | 53 | crafting_station | crafting | The workbench is ready for crafting recipes.
emberhaven | 21 | 63 | 53 | crafting_station | alchemy | The alchemy table is ready for alchemy and potion recipes.
emberhaven | 22 | 42 | 78 | training | combat | The practice target lists your recent combat results.
emberhaven | 23 | 58 | 62 | information | welcome | Welcome to Eloria. Visit Four Gates to begin the Nymara road.
emberhaven | 24 | 61 | 61 | water_source | refreshment | Cool water restores 5 food; the well can be used every five minutes.
emberhaven | 25 | 72 | 54 | scenery_effect | brazier | The civic brazier burns with a calm blue flame.

# Nymara exteriors, written by tools/author_region_content.py: the
# board, cache and field station stand beside each region's arrival,
# and a waygate marks every crossing to a neighbouring region two tiles
# inside its trigger, so the crossing is visible before it is stepped on.

# Nymara exteriors, written by tools/author_region_content.py: the
# board, cache and field station stand beside each region's arrival,
# and a waygate marks every crossing to a neighbouring region two tiles
# inside its trigger, so the crossing is visible before it is stepped on.

# Nymara exteriors, written by tools/author_region_content.py: the
# board, cache and field station stand beside each region's arrival,
# and a waygate marks every crossing to a neighbouring region two tiles
# inside its trigger, so the crossing is visible before it is stepped on.

# Nymara exteriors, written by tools/author_region_content.py: the
# board, cache and field station stand beside each region's arrival,
# and a waygate marks every crossing to a neighbouring region two tiles
# inside its trigger, so the crossing is visible before it is stepped on.

# Nymara exteriors, written by tools/author_region_content.py: the
# board, cache and field station stand beside each region's arrival,
# and a waygate marks every crossing to a neighbouring region two tiles
# inside its trigger, so the crossing is visible before it is stepped on.

# Nymara exteriors, written by tools/author_region_content.py: the
# board, cache and field station stand beside each region's arrival,
# and a waygate marks every crossing to a neighbouring region two tiles
# inside its trigger, so the crossing is visible before it is stepped on.

# Nymara exteriors, written by tools/author_region_content.py: the
# board, cache and field station stand beside each region's arrival,
# and a waygate marks every crossing to a neighbouring region two tiles
# inside its trigger, so the crossing is visible before it is stepped on.
mirrorhold | 13 | 189 | 130 | information | region | The local board records roads, dangers, and current work in Mirrorhold.
mirrorhold | 14 | 195 | 129 | storage | shared | A wayfarer's cache opens your shared storage.
mirrorhold | 15 | 201 | 129 | crafting_station | field | This field station supports ordinary mixing and crafting.
mirrorhold | 16 | 207 | 128 | training | combat | The practice post lists your recent combat results.
mirrorhold | 20 | 4 | 137 | portal | maps.txt | The road continues into Amberwood.
mirrorhold | 21 | 397 | 347 | portal | maps.txt | The road continues into Amethyst Barrens.
mirrorhold | 22 | 262 | 95 | portal | maps.txt | Ferries leave this quay for Crownwater.
mirrorhold | 23 | 251 | 4 | portal | maps.txt | The road continues into Four Gates.
mirrorhold | 24 | 69 | 394 | portal | maps.txt | The road continues into Whitehorn Range.
crownwater | 13 | 115 | 122 | information | region | The local board records roads, dangers, and current work in Crownwater.
crownwater | 14 | 110 | 111 | storage | shared | A wayfarer's cache opens your shared storage.
crownwater | 15 | 100 | 111 | crafting_station | field | This field station supports ordinary mixing and crafting.
crownwater | 16 | 100 | 124 | training | combat | The practice post lists your recent combat results.
crownwater | 20 | 274 | 381 | portal | maps.txt | The waygate hums. Beyond it lies Amethyst Barrens.
crownwater | 21 | 397 | 136 | portal | maps.txt | The waygate hums. Beyond it lies Four Gates.
crownwater | 22 | 14 | 254 | portal | maps.txt | The waygate hums. Beyond it lies Grey Moors.
crownwater | 23 | 130 | 14 | portal | maps.txt | The waygate hums. Beyond it lies Manymouth Delta.
crownwater | 24 | 264 | 381 | portal | maps.txt | The waygate hums. Beyond it lies Mirrorhold.
crownwater | 25 | 140 | 14 | portal | maps.txt | The waygate hums. Beyond it lies Ssarathi Ruins.
crownwater | 26 | 14 | 264 | portal | maps.txt | The waygate hums. Beyond it lies Westhaven.
four_gates | 13 | 207 | 154 | information | region | The local board records roads, dangers, and current work in Four Gates.
